 ,market_open,market_close
2023-12-08,2023-12-08 14:30:00+00:00,2023-12-08 21:00:00+00:00
2023-12-11,2023-12-11 14:30:00+00:00,2023-12-11 21:00:00+00:00
2023-12-12,2023-12-12 14:30:00+00:00,2023-12-12 21:00:00+00:00
2023-12-13,2023-12-13 14:30:00+00:00,2023-12-13 21:00:00+00:00
2023-12-14,2023-12-14 14:30:00+00:00,2023-12-14 21:00:00+00:00
2023-12-15,2023-12-15 14:30:00+00:00,2023-12-15 21:00:00+00:00
2023-12-18,2023-12-18 14:30:00+00:00,2023-12-18 21:00:00+00:00
2023-12-19,2023-12-19 14:30:00+00:00,2023-12-19 21:00:00+00:00
2023-12-20,2023-12-20 14:30:00+00:00,2023-12-20 21:00:00+00:00
2023-12-21,2023-12-21 14:30:00+00:00,2023-12-21 21:00:00+00:00
2023-12-22,2023-12-22 14:30:00+00:00,2023-12-22 21:00:00+00:00
2023-12-26,2023-12-26 14:30:00+00:00,2023-12-26 21:00:00+00:00
2023-12-27,2023-12-27 14:30:00+00:00,2023-12-27 21:00:00+00:00
2023-12-28,2023-12-28 14:30:00+00:00,2023-12-28 21:00:00+00:00
2023-12-29,2023-12-29 14:30:00+00:00,2023-12-29 21:00:00+00:00
